Конкурент,Линейка,Калорийность,Дней,Цена за день (руб),Общая цена (руб)
Польза Диет,gentle_1600,1600.0,12.0,1482,17790.0
Польза Диет,gentle_1600,1600.0,20.0,1457,29150.0
Польза Диет,gentle_1600,1600.0,28.0,1423,39850.0
Польза Диет,gentle_1600,1600.0,30.0,1419,42590.0
Польза Диет,gentle_2000,2000.0,2.0,1695,3390.0
Польза Диет,gentle_2000,2000.0,4.0,1697,6790.0
Польза Диет,gentle_2000,2000.0,6.0,1681,10090.0
Польза Диет,gentle_2000,2000.0,12.0,1637,19650.0
Польза Диет,gentle_2000,2000.0,20.0,1624,32490.0
Польза Диет,gentle_2000,2000.0,28.0,1580,44250.0
Польза Диет,gentle_2000,2000.0,30.0,1578,47350.0
Польза Диет,diabet_1200,1200.0,2.0,1595,3190.0
Польза Диет,diabet_1200,1200.0,4.0,1562,6250.0
Польза Диет,diabet_1200,1200.0,6.0,1525,9150.0
Польза Диет,diabet_1200,1200.0,12.0,1482,17790.0
Польза Диет,diabet_1200,1200.0,20.0,1457,29150.0
Польза Диет,diabet_1200,1200.0,28.0,1423,39850.0
Польза Диет,diabet_1200,1200.0,30.0,1419,42590.0
Польза Диет,diabet_1800,1800.0,2.0,1695,3390.0
Польза Диет,diabet_1800,1800.0,4.0,1697,6790.0
Польза Диет,diabet_1800,1800.0,6.0,1681,10090.0
Польза Диет,diabet_1800,1800.0,12.0,1637,19650.0
Польза Диет,diabet_1800,1800.0,20.0,1624,32490.0
Польза Диет,diabet_1800,1800.0,28.0,1580,44250.0
Польза Диет,diabet_1800,1800.0,30.0,1578,47350.0
Польза Диет,gentle_lactosefree_1200,1200.0,2.0,1795,3590.0
Польза Диет,gentle_lactosefree_1200,1200.0,4.0,1722,6890.0
Польза Диет,gentle_lactosefree_1200,1200.0,6.0,1665,9990.0
Польза Диет,gentle_lactosefree_1200,1200.0,12.0,1595,19150.0
Польза Диет,gentle_lactosefree_1200,1200.0,20.0,1562,31250.0
Польза Диет,gentle_lactosefree_1200,1200.0,28.0,1478,41390.0
Польза Диет,gentle_lactosefree_1200,1200.0,30.0,1476,44290.0
Польза Диет,gentle_fish_1200,1200.0,2.0,1925,3850.0
Польза Диет,gentle_fish_1200,1200.0,4.0,1837,7350.0
Польза Диет,gentle_fish_1200,1200.0,6.0,1741,10450.0
Польза Диет,gentle_fish_1200,1200.0,12.0,1679,20150.0
Польза Диет,gentle_fish_1200,1200.0,20.0,1639,32790.0
Польза Диет,gentle_fish_1200,1200.0,28.0,1551,43450.0
Польза Диет,gentle_fish_1200,1200.0,30.0,1549,46490.0
Польза Диет,gentle_meat_1200,1200.0,2.0,1595,3190.0
Польза Диет,gentle_meat_1200,1200.0,4.0,1562,6250.0
Польза Диет,gentle_meat_1200,1200.0,6.0,1525,9150.0
Польза Диет,gentle_meat_1200,1200.0,12.0,1482,17790.0
Польза Диет,gentle_meat_1200,1200.0,20.0,1457,29150.0
Польза Диет,gentle_meat_1200,1200.0,28.0,1423,39850.0
Польза Диет,gentle_meat_1200,1200.0,30.0,1419,42590.0
Польза Диет,gentle_lactosefree_1600,1600.0,2.0,1795,3590.0
Польза Диет,gentle_lactosefree_1600,1600.0,4.0,1722,6890.0
Польза Диет,gentle_lactosefree_1600,1600.0,6.0,1665,9990.0
Польза Диет,gentle_lactosefree_1600,1600.0,12.0,1595,19150.0
Польза Диет,gentle_lactosefree_1600,1600.0,20.0,1562,31250.0
Польза Диет,gentle_lactosefree_1600,1600.0,28.0,1478,41390.0
Польза Диет,gentle_lactosefree_1600,1600.0,30.0,1476,44290.0
Польза Диет,gentle_fish_1600,1600.0,2.0,1925,3850.0
Польза Диет,gentle_fish_1600,1600.0,4.0,1837,7350.0
Польза Диет,gentle_fish_1600,1600.0,6.0,1741,10450.0
Польза Диет,gentle_fish_1600,1600.0,12.0,1679,20150.0
Польза Диет,gentle_fish_1600,1600.0,20.0,1639,32790.0
Польза Диет,gentle_fish_1600,1600.0,28.0,1551,43450.0
Польза Диет,gentle_fish_1600,1600.0,30.0,1549,46490.0
Польза Диет,gentle_meat_1600,1600.0,2.0,1595,3190.0
Польза Диет,gentle_meat_1600,1600.0,4.0,1562,6250.0
Польза Диет,gentle_meat_1600,1600.0,6.0,1525,9150.0
Польза Диет,gentle_meat_1600,1600.0,12.0,1482,17790.0
Польза Диет,gentle_meat_1600,1600.0,20.0,1457,29150.0
Польза Диет,gentle_meat_1600,1600.0,28.0,1423,39850.0
Польза Диет,gentle_meat_1600,1600.0,30.0,1419,42590.0
Польза Диет,gentle_lactosefree_2000,2000.0,2.0,1925,3850.0
Польза Диет,gentle_lactosefree_2000,2000.0,4.0,1797,7190.0
Польза Диет,gentle_lactosefree_2000,2000.0,6.0,1781,10690.0
Польза Диет,gentle_lactosefree_2000,2000.0,12.0,1712,20550.0
Польза Диет,gentle_lactosefree_2000,2000.0,20.0,1694,33890.0
Польза Диет,gentle_lactosefree_2000,2000.0,28.0,1655,46350.0
Польза Диет,gentle_lactosefree_2000,2000.0,30.0,1653,49590.0
Польза Диет,gentle_fish_2000,2000.0,2.0,2075,4150.0
Польза Диет,gentle_fish_2000,2000.0,4.0,1937,7750.0
Польза Диет,gentle_fish_2000,2000.0,6.0,1898,11390.0
Польза Диет,gentle_fish_2000,2000.0,12.0,1840,22090.0
Польза Диет,gentle_fish_2000,2000.0,20.0,1817,36350.0
Польза Диет,gentle_fish_2000,2000.0,28.0,1778,49790.0
Польза Диет,gentle_fish_2000,2000.0,30.0,1778,53350.0
Польза Диет,gentle_meat_2000,2000.0,2.0,1695,3390.0
Польза Диет,gentle_meat_2000,2000.0,4.0,1722,6890.0
Польза Диет,gentle_meat_2000,2000.0,6.0,1681,10090.0
Польза Диет,gentle_meat_2000,2000.0,12.0,1637,19650.0
Польза Диет,gentle_meat_2000,2000.0,20.0,1624,32490.0
Польза Диет,gentle_meat_2000,2000.0,28.0,1580,44250.0
Польза Диет,gentle_meat_2000,2000.0,30.0,1578,47350.0
VkusVill,БАЛАНС 1100,1100.0,6.0,1225,7350.0
VkusVill,БАЛАНС 1100,1100.0,8.0,1160,9280.0
VkusVill,БАЛАНС 1100,1100.0,10.0,1160,11600.0
VkusVill,БАЛАНС 1100,1100.0,14.0,1160,16240.0
VkusVill,БАЛАНС 1100,1100.0,20.0,1160,23200.0
VkusVill,БАЛАНС 1100,1100.0,30.0,1095,32850.0
VkusVill,БАЛАНС 1500,1500.0,6.0,1320,7920.0
VkusVill,БАЛАНС 1500,1500.0,8.0,1250,10000.0
VkusVill,БАЛАНС 1500,1500.0,10.0,1255,12550.0
VkusVill,БАЛАНС 1500,1500.0,14.0,1250,17500.0
VkusVill,БАЛАНС 1500,1500.0,20.0,1250,25000.0
VkusVill,БАЛАНС 1500,1500.0,30.0,1180,35400.0
VkusVill,БАЛАНС 1800,1800.0,6.0,1377,8262.0
VkusVill,БАЛАНС 1800,1800.0,8.0,1304,10432.0
VkusVill,БАЛАНС 1800,1800.0,10.0,1304,13040.0
VkusVill,БАЛАНС 1800,1800.0,14.0,1304,18256.0
VkusVill,БАЛАНС 1800,1800.0,20.0,1304,26080.0
VkusVill,БАЛАНС 1800,1800.0,30.0,1231,36930.0
VkusVill,БАЛАНС 2000,2000.0,6.0,1415,8490.0
VkusVill,БАЛАНС 2000,2000.0,8.0,1340,10720.0
VkusVill,БАЛАНС 2000,2000.0,10.0,1340,13400.0
VkusVill,БАЛАНС 2000,2000.0,14.0,1340,18760.0
VkusVill,БАЛАНС 2000,2000.0,20.0,1340,26800.0
VkusVill,БАЛАНС 2000,2000.0,30.0,1265,37950.0
